longitude,latitude,start_date,end_date,label,id
-55.685925914698,-11.555208332289,2000-02-18,2017-03-18,NoClass,160
-55.68379948316,-11.555208332289,2000-02-18,2017-03-18,NoClass,161
-55.681673051621,-11.555208332289,2000-02-18,2017-03-18,NoClass,162
-55.679546620083,-11.555208332289,2000-02-18,2017-03-18,NoClass,163
-55.677420188544,-11.555208332289,2000-02-18,2017-03-18,NoClass,164
-55.675293757006,-11.555208332289,2000-02-18,2017-03-18,NoClass,165
-55.673167325467,-11.555208332289,2000-02-18,2017-03-18,NoClass,166
-55.671040893929,-11.555208332289,2000-02-18,2017-03-18,NoClass,167
-55.66891446239,-11.555208332289,2000-02-18,2017-03-18,NoClass,168
-55.755683691858,-11.553124998956,2000-02-18,2017-03-18,NoClass,169
-55.753557276127,-11.553124998956,2000-02-18,2017-03-18,NoClass,170
-55.751430860395,-11.553124998956,2000-02-18,2017-03-18,NoClass,171
-55.749304444663,-11.553124998956,2000-02-18,2017-03-18,NoClass,172
-55.747178028932,-11.553124998956,2000-02-18,2017-03-18,NoClass,173
-55.7450516132,-11.553124998956,2000-02-18,2017-03-18,NoClass,174
-55.742925197468,-11.553124998956,2000-02-18,2017-03-18,NoClass,175
-55.740798781737,-11.553124998956,2000-02-18,2017-03-18,NoClass,176
-55.738672366005,-11.553124998956,2000-02-18,2017-03-18,NoClass,177
-55.736545950273,-11.553124998956,2000-02-18,2017-03-18,NoClass,178
-55.734419534542,-11.553124998956,2000-02-18,2017-03-18,NoClass,179
-55.73229311881,-11.553124998956,2000-02-18,2017-03-18,NoClass,180
-55.730166703079,-11.553124998956,2000-02-18,2017-03-18,NoClass,181
-55.728040287347,-11.553124998956,2000-02-18,2017-03-18,NoClass,182
-55.725913871615,-11.553124998956,2000-02-18,2017-03-18,NoClass,183
-55.723787455884,-11.553124998956,2000-02-18,2017-03-18,NoClass,184
-55.721661040152,-11.553124998956,2000-02-18,2017-03-18,NoClass,185
-55.71953462442,-11.553124998956,2000-02-18,2017-03-18,NoClass,186
-55.717408208688,-11.553124998956,2000-02-18,2017-03-18,NoClass,187
-55.715281792957,-11.553124998956,2000-02-18,2017-03-18,NoClass,188
-55.713155377225,-11.553124998956,2000-02-18,2017-03-18,NoClass,189
-55.711028961494,-11.553124998956,2000-02-18,2017-03-18,NoClass,190
-55.708902545762,-11.553124998956,2000-02-18,2017-03-18,NoClass,191
-55.70677613003,-11.553124998956,2000-02-18,2017-03-18,NoClass,192
-55.704649714299,-11.553124998956,2000-02-18,2017-03-18,NoClass,193
-55.702523298567,-11.553124998956,2000-02-18,2017-03-18,NoClass,194
-55.700396882835,-11.553124998956,2000-02-18,2017-03-18,NoClass,195
-55.698270467104,-11.553124998956,2000-02-18,2017-03-18,NoClass,196
-55.696144051372,-11.553124998956,2000-02-18,2017-03-18,NoClass,197
-55.69401763564,-11.553124998956,2000-02-18,2017-03-18,NoClass,198
-55.691891219909,-11.553124998956,2000-02-18,2017-03-18,NoClass,199
-55.689764804177,-11.553124998956,2000-02-18,2017-03-18,NoClass,200
-55.687638388445,-11.553124998956,2000-02-18,2017-03-18,NoClass,201
-55.685511972714,-11.553124998956,2000-02-18,2017-03-18,NoClass,202
-55.683385556982,-11.553124998956,2000-02-18,2017-03-18,NoClass,203
-55.68125914125,-11.553124998956,2000-02-18,2017-03-18,NoClass,204
-55.679132725519,-11.553124998956,2000-02-18,2017-03-18,NoClass,205
-55.677006309787,-11.553124998956,2000-02-18,2017-03-18,NoClass,206
-55.674879894055,-11.553124998956,2000-02-18,2017-03-18,NoClass,207
-55.672753478324,-11.553124998956,2000-02-18,2017-03-18,NoClass,208
-55.670627062592,-11.553124998956,2000-02-18,2017-03-18,NoClass,209
-55.668500646861,-11.553124998956,2000-02-18,2017-03-18,NoClass,210
-55.755269308124,-11.551041665622,2000-02-18,2017-03-18,NoClass,211
-55.753142908196,-11.551041665622,2000-02-18,2017-03-18,NoClass,212
-55.751016508268,-11.551041665622,2000-02-18,2017-03-18,NoClass,213
-55.74889010834,-11.551041665622,2000-02-18,2017-03-18,NoClass,214
-55.746763708413,-11.551041665622,2000-02-18,2017-03-18,NoClass,215
-55.744637308485,-11.551041665622,2000-02-18,2017-03-18,NoClass,216
-55.742510908557,-11.551041665622,2000-02-18,2017-03-18,NoClass,217
-55.740384508629,-11.551041665622,2000-02-18,2017-03-18,NoClass,218
